route_id,origin,destination,estimated_road_km,truck_type,capacity_mt,assumed_rate_rs_per_km,estimated_toll_rs,loading_unloading_rs,estimated_total_trip_cost_rs,data_status
T0172,Udaipur,Jodhpur,251.4,LCV 6T,6.0,36.68,199.0,500,9921.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0173,Jaipur,Kota,242.0,Tata Ace / mini,1.0,23.28,269.0,800,6702.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0174,Chittorgarh,Ajmer,222.2,LCV 6T,6.0,34.44,172.0,300,8125.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0175,Bhilwara,Alwar,404.3,Tata Ace / mini,1.0,23.05,496.0,650,10465.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0176,Barmer,Udaipur,341.4,Tata Ace / mini,1.0,26.86,471.0,300,9941.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0177,Udaipur,Jodhpur,251.4,Tata Ace / mini,1.0,20.16,343.0,650,6062.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0178,Hanumangarh,Udaipur,715.4,Truck 10T,10.0,39.95,956.0,650,30185.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0179,Hanumangarh,Chittorgarh,669.0,Pickup 2T,2.0,30.83,889.0,500,22014.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0180,Bhilwara,Bikaner,416.5,Truck 10T,10.0,48.87,359.0,800,21514.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0181,Hanumangarh,Sikar,298.4,Pickup 2T,2.0,25.44,371.0,400,8362.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0182,Sri Ganganagar,Bharatpur,593.1,Pickup 2T,2.0,27.68,454.0,500,17372.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0183,Ajmer,Jaipur,160.1,Truck 10T,10.0,41.75,202.0,400,7285.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0184,Sri Ganganagar,Ajmer,500.8,LCV 6T,6.0,32.5,556.0,650,17482.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0185,Bikaner,Chittorgarh,476.5,Truck 10T,10.0,42.21,519.0,500,21132.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0186,Sikar,Hanumangarh,298.4,Truck 10T,10.0,37.86,344.0,400,12041.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0187,Alwar,Chittorgarh,457.7,Pickup 2T,2.0,29.68,730.0,1000,15315.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0188,Bhilwara,Barmer,420.0,Truck 16T,16.0,49.81,480.0,650,22050.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0189,Sikar,Bhilwara,328.4,LCV 6T,6.0,32.56,272.0,300,11266.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0190,Jodhpur,Bhilwara,242.5,Truck 10T,10.0,40.2,331.0,800,10880.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0191,Sri Ganganagar,Jaipur,488.3,Pickup 2T,2.0,26.17,606.0,400,13785.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0192,Bhilwara,Sri Ganganagar,655.7,Truck 16T,16.0,50.91,1073.0,300,34754.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0193,Chittorgarh,Alwar,457.7,Truck 10T,10.0,43.94,406.0,1000,21518.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0194,Bhilwara,Udaipur,161.1,Pickup 2T,2.0,30.41,166.0,400,5464.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0195,Ajmer,Sri Ganganagar,500.8,LCV 6T,6.0,35.62,769.0,400,19008.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0196,Barmer,Bikaner,404.4,LCV 6T,6.0,37.32,570.0,800,16463.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0197,Chittorgarh,Bhilwara,65.1,Tata Ace / mini,1.0,25.41,40.0,300,1995.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0198,Jaipur,Hanumangarh,421.6,Tata Ace / mini,1.0,22.65,340.0,500,10388.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0199,Alwar,Chittorgarh,457.7,Pickup 2T,2.0,33.58,463.0,300,16133.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0200,Sikar,Udaipur,467.5,LCV 6T,6.0,37.0,696.0,650,18642.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0201,Sikar,Chittorgarh,392.7,Pickup 2T,2.0,26.9,318.0,800,11682.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0202,Ajmer,Hanumangarh,447.4,Pickup 2T,2.0,28.15,543.0,800,13938.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0203,Sri Ganganagar,Ajmer,500.8,Truck 16T,16.0,52.84,585.0,500,27548.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0204,Chittorgarh,Nagaur,348.5,Pickup 2T,2.0,33.76,452.0,400,12617.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0205,Hanumangarh,Bikaner,255.6,Tata Ace / mini,1.0,26.05,202.0,650,7509.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0206,Bikaner,Sri Ganganagar,276.8,Truck 10T,10.0,38.39,194.0,1000,11821.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0207,Nagaur,Sikar,186.9,Truck 10T,10.0,44.19,144.0,300,8702.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0208,Bikaner,Bhilwara,416.5,Truck 16T,16.0,49.5,429.0,300,21347.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0209,Hanumangarh,Sikar,298.4,Tata Ace / mini,1.0,21.42,368.0,1000,7760.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0210,Sri Ganganagar,Ajmer,500.8,Tata Ace / mini,1.0,27.94,733.0,1000,15726.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0211,Alwar,Bhilwara,404.3,LCV 6T,6.0,33.51,580.0,300,14428.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0212,Sikar,Udaipur,467.5,Truck 10T,10.0,36.22,723.0,650,18305.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0213,Ajmer,Sikar,176.8,LCV 6T,6.0,32.3,148.0,800,6658.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0214,Hanumangarh,Jaipur,421.6,Truck 10T,10.0,40.46,369.0,1000,18426.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0215,Alwar,Chittorgarh,457.7,LCV 6T,6.0,33.16,750.0,500,16427.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0216,Jaipur,Bharatpur,221.7,Truck 10T,10.0,45.23,206.0,300,10533.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0217,Ajmer,Nagaur,157.2,Truck 16T,16.0,44.17,161.0,500,7603.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0218,Sri Ganganagar,Alwar,480.0,Truck 10T,10.0,41.32,368.0,1000,21200.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0219,Bharatpur,Chittorgarh,494.8,Truck 10T,10.0,40.7,729.0,650,21519.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0220,Sri Ganganagar,Chittorgarh,720.0,LCV 6T,6.0,31.59,779.0,500,24025.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0221,Jodhpur,Alwar,494.9,Truck 10T,10.0,39.94,402.0,650,20820.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0222,Hanumangarh,Bhilwara,604.0,Tata Ace / mini,1.0,26.44,966.0,800,17737.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0223,Hanumangarh,Kota,651.2,Tata Ace / mini,1.0,26.49,982.0,300,18532.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0224,Alwar,Kota,347.1,Pickup 2T,2.0,27.73,293.0,400,10318.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0225,Barmer,Kota,579.1,Tata Ace / mini,1.0,20.08,439.0,500,12568.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0226,Nagaur,Udaipur,372.4,Tata Ace / mini,1.0,21.25,474.0,650,9038.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0227,Bhilwara,Nagaur,288.1,LCV 6T,6.0,39.43,225.0,300,11886.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0228,Jaipur,Chittorgarh,324.1,Pickup 2T,2.0,26.0,439.0,300,9165.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0229,Ajmer,Kota,235.7,Tata Ace / mini,1.0,20.03,312.0,400,5434.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0230,Alwar,Jaipur,140.8,Tata Ace / mini,1.0,23.1,144.0,400,3795.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0231,Bikaner,Nagaur,128.4,Pickup 2T,2.0,31.08,114.0,1000,5104.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0232,Ajmer,Bikaner,279.9,LCV 6T,6.0,38.78,334.0,300,11490.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0233,Bikaner,Ajmer,279.9,Truck 16T,16.0,44.1,234.0,400,12979.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0234,Bharatpur,Ajmer,379.6,Truck 16T,16.0,53.21,336.0,300,20833.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0235,Chittorgarh,Barmer,433.4,Tata Ace / mini,1.0,21.51,648.0,400,10369.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0236,Ajmer,Sri Ganganagar,500.8,Truck 16T,16.0,48.75,559.0,1000,25974.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0237,Bharatpur,Alwar,119.8,Truck 10T,10.0,39.51,91.0,400,5225.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0238,Jodhpur,Jaipur,364.5,LCV 6T,6.0,33.38,312.0,300,12780.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0239,Kota,Bikaner,515.1,LCV 6T,6.0,40.83,409.0,650,22091.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0240,Kota,Bhilwara,159.2,Truck 10T,10.0,36.17,184.0,300,6243.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0241,Sikar,Udaipur,467.5,LCV 6T,6.0,38.38,601.0,300,18842.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0242,Udaipur,Bharatpur,612.8,LCV 6T,6.0,35.41,883.0,650,23233.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0243,Sikar,Bikaner,237.5,LCV 6T,6.0,39.16,220.0,1000,10521.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0244,Alwar,Hanumangarh,407.9,Truck 16T,16.0,46.73,548.0,650,20258.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0245,Bikaner,Hanumangarh,255.6,LCV 6T,6.0,41.08,355.0,650,11504.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0246,Bikaner,Nagaur,128.4,Truck 10T,10.0,42.33,83.0,650,6168.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0247,Sri Ganganagar,Jaipur,488.3,Pickup 2T,2.0,31.88,530.0,1000,17097.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0248,Ajmer,Sri Ganganagar,500.8,LCV 6T,6.0,30.17,733.0,1000,16843.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0249,Hanumangarh,Ajmer,447.4,Pickup 2T,2.0,29.93,401.0,300,14092.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0250,Jaipur,Sri Ganganagar,488.3,Truck 10T,10.0,38.1,510.0,300,19414.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0251,Bikaner,Sri Ganganagar,276.8,Pickup 2T,2.0,27.04,416.0,800,8701.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0252,Bharatpur,Alwar,119.8,Pickup 2T,2.0,28.87,122.0,650,4231.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0253,Sri Ganganagar,Nagaur,385.0,Pickup 2T,2.0,28.87,506.0,500,12120.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0254,Kota,Hanumangarh,651.2,LCV 6T,6.0,38.47,860.0,400,26312.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0255,Alwar,Jodhpur,494.9,Truck 10T,10.0,47.25,553.0,300,24239.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0256,Bharatpur,Bhilwara,452.3,Pickup 2T,2.0,27.39,458.0,800,13646.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0257,Sri Ganganagar,Udaipur,757.3,Tata Ace / mini,1.0,24.79,954.0,500,20226.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0258,Chittorgarh,Sikar,392.7,Pickup 2T,2.0,27.7,624.0,300,11803.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0259,Jaipur,Bikaner,350.3,LCV 6T,6.0,35.0,313.0,500,13073.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0260,Chittorgarh,Alwar,457.7,LCV 6T,6.0,37.61,711.0,650,18575.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0261,Barmer,Bharatpur,805.2,Truck 16T,16.0,49.45,1220.0,1000,42037.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0262,Alwar,Ajmer,297.7,LCV 6T,6.0,39.38,354.0,400,12478.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0263,Chittorgarh,Udaipur,125.8,Truck 16T,16.0,47.79,139.0,650,6803.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0264,Udaipur,Bikaner,491.9,Tata Ace / mini,1.0,22.51,760.0,650,12483.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0265,Barmer,Ajmer,426.2,Truck 16T,16.0,49.15,513.0,650,22113.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0266,Udaipur,Chittorgarh,125.8,LCV 6T,6.0,30.8,102.0,400,4378.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0267,Barmer,Hanumangarh,658.5,LCV 6T,6.0,38.54,720.0,300,26399.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0268,Bikaner,Alwar,423.7,Pickup 2T,2.0,30.33,432.0,800,14082.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0269,Bikaner,Jodhpur,256.5,Pickup 2T,2.0,31.84,380.0,650,9197.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0270,Sikar,Udaipur,467.5,Truck 16T,16.0,47.2,689.0,400,23153.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0271,Hanumangarh,Udaipur,715.4,Truck 16T,16.0,45.93,1036.0,1000,34893.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0272,Hanumangarh,Alwar,407.9,Truck 16T,16.0,56.78,398.0,650,24208.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0273,Sri Ganganagar,Chittorgarh,720.0,Tata Ace / mini,1.0,22.39,683.0,500,17305.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0274,Jaipur,Hanumangarh,421.6,Truck 10T,10.0,37.1,483.0,400,16523.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0275,Bikaner,Bhilwara,416.5,Truck 10T,10.0,43.77,525.0,500,19256.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0276,Kota,Bharatpur,353.4,Truck 10T,10.0,39.86,472.0,650,15209.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0277,Bharatpur,Ajmer,379.6,Truck 16T,16.0,46.06,596.0,300,18379.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0278,Jaipur,Nagaur,263.5,LCV 6T,6.0,36.63,261.0,500,10413.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0279,Nagaur,Chittorgarh,348.5,Truck 10T,10.0,43.7,441.0,1000,16670.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0280,Sikar,Sri Ganganagar,362.6,Pickup 2T,2.0,27.27,528.0,300,10715.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0281,Bhilwara,Bharatpur,452.3,LCV 6T,6.0,36.79,564.0,800,18004.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0282,Jaipur,Chittorgarh,324.1,Pickup 2T,2.0,28.97,491.0,400,10280.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0283,Ajmer,Kota,235.7,Truck 16T,16.0,46.61,296.0,300,11584.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0284,Barmer,Sikar,544.5,LCV 6T,6.0,34.06,612.0,300,19457.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0285,Bikaner,Sri Ganganagar,276.8,Truck 16T,16.0,44.99,288.0,650,13392.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0286,Chittorgarh,Ajmer,222.2,Truck 16T,16.0,57.17,294.0,650,13648.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0287,Ajmer,Kota,235.7,LCV 6T,6.0,32.73,168.0,1000,8884.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0288,Jodhpur,Jaipur,364.5,Tata Ace / mini,1.0,25.14,486.0,650,10300.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0289,Jaipur,Hanumangarh,421.6,Pickup 2T,2.0,31.59,668.0,400,14385.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0290,Jodhpur,Sikar,331.8,LCV 6T,6.0,34.65,419.0,650,12567.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0291,Jaipur,Jodhpur,364.5,LCV 6T,6.0,35.91,477.0,1000,14567.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0292,Sri Ganganagar,Jodhpur,532.5,Tata Ace / mini,1.0,20.32,684.0,400,11904.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0293,Alwar,Udaipur,563.8,Truck 10T,10.0,36.1,787.0,800,21941.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0294,Hanumangarh,Sikar,298.4,Truck 16T,16.0,58.38,249.0,400,18070.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0295,Ajmer,Jodhpur,208.2,Tata Ace / mini,1.0,27.32,260.0,500,6449.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0296,Bharatpur,Jodhpur,586.0,LCV 6T,6.0,36.13,524.0,400,22097.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0297,Barmer,Udaipur,341.4,LCV 6T,6.0,34.01,340.0,500,12451.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0298,Sri Ganganagar,Kota,713.0,LCV 6T,6.0,35.42,838.0,1000,27094.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0299,Bhilwara,Jodhpur,242.5,Truck 10T,10.0,38.86,185.0,650,10259.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0300,Barmer,Kota,579.1,Pickup 2T,2.0,26.0,739.0,1000,16796.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0301,Bharatpur,Nagaur,477.1,Pickup 2T,2.0,32.87,707.0,500,16889.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0302,Bikaner,Jaipur,350.3,Pickup 2T,2.0,29.67,523.0,500,11416.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0303,Alwar,Jodhpur,494.9,Tata Ace / mini,1.0,22.48,462.0,400,11988.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0304,Nagaur,Sikar,186.9,Pickup 2T,2.0,29.0,223.0,1000,6642.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0305,Sikar,Bikaner,237.5,Truck 10T,10.0,44.43,191.0,650,11394.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0306,Bikaner,Jodhpur,256.5,Truck 16T,16.0,48.57,387.0,400,13246.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0307,Kota,Udaipur,291.9,Tata Ace / mini,1.0,27.08,416.0,800,9121.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0308,Jaipur,Nagaur,263.5,Tata Ace / mini,1.0,27.57,387.0,500,8152.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0309,Bikaner,Sri Ganganagar,276.8,Truck 16T,16.0,59.38,212.0,500,17149.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0310,Alwar,Bhilwara,404.3,Pickup 2T,2.0,33.71,562.0,500,14691.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0311,Kota,Bharatpur,353.4,Truck 10T,10.0,45.15,344.0,300,16600.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0312,Hanumangarh,Kota,651.2,LCV 6T,6.0,31.7,768.0,400,21811.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0313,Kota,Bhilwara,159.2,Tata Ace / mini,1.0,27.04,206.0,400,4911.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0314,Jaipur,Kota,242.0,Tata Ace / mini,1.0,25.8,254.0,800,7297.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0315,Chittorgarh,Jodhpur,281.5,LCV 6T,6.0,33.24,363.0,650,10372.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0316,Kota,Chittorgarh,166.2,Pickup 2T,2.0,26.15,151.0,650,5147.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0317,Jaipur,Hanumangarh,421.6,Truck 10T,10.0,42.05,483.0,400,18610.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0318,Jaipur,Udaipur,424.8,Tata Ace / mini,1.0,25.25,677.0,500,11902.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0319,Chittorgarh,Bharatpur,494.8,Truck 10T,10.0,38.84,485.0,1000,20704.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0320,Bharatpur,Nagaur,477.1,Pickup 2T,2.0,26.35,545.0,300,13416.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0321,Bhilwara,Jaipur,267.0,Truck 16T,16.0,57.37,280.0,1000,16600.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0322,Bikaner,Barmer,404.4,Pickup 2T,2.0,31.16,562.0,500,13664.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0323,Sikar,Kota,353.3,Truck 16T,16.0,49.88,508.0,800,18929.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0324,Ajmer,Sikar,176.8,LCV 6T,6.0,38.71,183.0,500,7526.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0325,Chittorgarh,Bhilwara,65.1,LCV 6T,6.0,34.88,35.0,500,2807.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0326,Bikaner,Sikar,237.5,LCV 6T,6.0,31.77,291.0,650,8487.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0327,Bhilwara,Jodhpur,242.5,Truck 10T,10.0,41.04,249.0,800,11002.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0328,Bharatpur,Ajmer,379.6,LCV 6T,6.0,41.1,491.0,650,16742.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0329,Barmer,Jodhpur,219.4,Pickup 2T,2.0,32.9,205.0,1000,8425.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0330,Ajmer,Udaipur,290.9,LCV 6T,6.0,36.48,409.0,400,11420.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0331,Nagaur,Barmer,362.3,Truck 16T,16.0,46.23,521.0,400,17669.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0332,Nagaur,Chittorgarh,348.5,Truck 10T,10.0,37.14,376.0,300,13619.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0333,Jodhpur,Hanumangarh,503.3,Tata Ace / mini,1.0,24.16,637.0,500,13296.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0334,Hanumangarh,Jodhpur,503.3,Pickup 2T,2.0,31.4,687.0,500,16989.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0335,Bikaner,Kota,515.1,LCV 6T,6.0,38.78,759.0,800,21535.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0336,Hanumangarh,Sri Ganganagar,72.3,Truck 16T,16.0,54.51,39.0,800,4780.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0337,Sikar,Chittorgarh,392.7,Truck 10T,10.0,45.63,631.0,400,18951.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0338,Bhilwara,Hanumangarh,604.0,Truck 10T,10.0,38.18,843.0,400,24305.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0339,Chittorgarh,Jaipur,324.1,Truck 16T,16.0,56.8,368.0,300,19076.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0340,Chittorgarh,Bharatpur,494.8,Pickup 2T,2.0,31.56,502.0,400,16519.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0341,Jodhpur,Bhilwara,242.5,Tata Ace / mini,1.0,27.61,201.0,300,7197.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0342,Jaipur,Bharatpur,221.7,Tata Ace / mini,1.0,21.66,296.0,1000,6098.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
